type,distribution,algorithm,n,batch,reps,median_ns_total,min_ns_total,ns_per_elem
i64,few_unique,block,1024,64,64,48641.0,48021.0,0.7422
i64,few_unique,boost_block,1024,64,64,32250.0,32060.0,0.4921
i64,few_unique,fulcrum,1024,64,64,29471.0,29380.0,0.4497
i64,few_unique,block_simd_amd,1024,64,64,27630.0,27231.0,0.4216
i64,few_unique,sized,1024,64,64,32251.0,31911.0,0.4921
i64,few_unique,std_partition,4096,16,64,127503.0,125653.0,1.9455
i64,few_unique,lomuto,4096,16,64,107172.0,106183.0,1.6353
i64,few_unique,lomuto_branchless,4096,16,64,40581.0,40301.0,0.6192
i64,few_unique,hoare,4096,16,64,130513.0,128493.0,1.9915
i64,few_unique,hoare_guarded,4096,16,64,130343.0,128273.0,1.9889
i64,few_unique,block,4096,16,64,43111.0,42721.0,0.6578
i64,few_unique,boost_block,4096,16,64,28970.0,28760.0,0.4420
i64,few_unique,fulcrum,4096,16,64,29051.0,28940.0,0.4433
i64,few_unique,block_simd_amd,4096,16,64,24401.0,23701.0,0.3723
i64,few_unique,sized,4096,16,64,29411.0,28960.0,0.4488
i64,few_unique,std_partition,65536,1,64,141093.0,139943.0,2.1529
i64,few_unique,lomuto,65536,1,64,124963.0,123513.0,1.9068
i64,few_unique,lomuto_branchless,65536,1,64,40671.0,40390.0,0.6206
i64,few_unique,hoare,65536,1,64,150284.0,148743.0,2.2932
i64,few_unique,hoare_guarded,65536,1,64,143523.0,142283.0,2.1900
i64,few_unique,block,65536,1,64,42701.0,42141.0,0.6516
i64,few_unique,boost_block,65536,1,64,30161.0,29891.0,0.4602
i64,few_unique,fulcrum,65536,1,64,28910.0,28600.0,0.4411
i64,few_unique,block_simd_amd,65536,1,64,25151.0,24690.0,0.3838
i64,few_unique,sized,65536,1,64,30451.0,30240.0,0.4646
i64,few_unique,std_partition,262144,1,16,553533.0,548402.0,2.1116
i64,few_unique,lomuto,262144,1,16,386329.0,381729.0,1.4737
i64,few_unique,lomuto_branchless,262144,1,16,161444.0,160904.0,0.6159
i64,few_unique,hoare,262144,1,16,459301.0,451361.0,1.7521
i64,few_unique,hoare_guarded,262144,1,16,555532.0,548943.0,2.1192
i64,few_unique,block,262144,1,16,162053.0,161424.0,0.6182
i64,few_unique,boost_block,262144,1,16,117552.0,116712.0,0.4484
i64,few_unique,fulcrum,262144,1,16,115492.0,115043.0,0.4406
i64,few_unique,block_simd_amd,262144,1,16,87322.0,86622.0,0.3331
i64,few_unique,sized,262144,1,16,117473.0,117143.0,0.4481
i64,few_unique,std_partition,1048576,1,5,3002119.0,2986778.0,2.8630
i64,few_unique,lomuto,1048576,1,5,2650350.0,2645640.0,2.5276
i64,few_unique,lomuto_branchless,1048576,1,5,656245.0,653525.0,0.6258
i64,few_unique,hoare,1048576,1,5,3075951.0,3004999.0,2.9335
i64,few_unique,hoare_guarded,1048576,1,5,3072460.0,3057090.0,2.9301
i64,few_unique,block,1048576,1,5,700606.0,691736.0,0.6681
i64,few_unique,boost_block,1048576,1,5,505022.0,503801.0,0.4816
