type,case,algo,n,k,delta,total_ops,samples,min_ns,p50_ns,p90_ns,mean_ns,cv_pct
i64,b,sort_network,6,2,4,5002276,458,1.968,1.992,2.005,2.005,3.45
i64,b,std::inplace_merge,6,2,4,5002276,458,21.976,22.415,22.759,22.567,3.59
i64,b,std::merge,6,2,4,5002276,458,13.578,13.811,14.173,13.910,3.02
i64,a,extend_sorted,7,6,1,5008670,535,6.261,6.413,6.533,6.448,2.54
i64,a,extend_scan,7,6,1,5008670,535,8.880,9.025,9.198,9.071,2.15
i64,a,extend_bsearch,7,6,1,5008670,535,11.970,12.138,12.485,12.188,1.81
i64,a,sort_network,7,6,1,5008670,535,2.309,2.342,2.359,2.352,2.68
i64,a,std::sort,7,6,1,5008670,535,12.788,12.970,13.356,13.062,3.06
i64,b,extend_sorted,7,6,1,5008670,535,6.184,6.308,6.400,6.354,3.03
i64,b,merge_sorted,7,6,1,5008670,535,8.558,8.759,9.045,8.856,7.00
i64,b,merge_branchless,7,6,1,5008670,535,12.909,13.127,13.509,13.210,2.98
i64,b,sort_network,7,6,1,5008670,535,2.325,2.361,2.382,2.382,3.93
i64,b,std::inplace_merge,7,6,1,5008670,535,16.317,16.630,17.214,16.799,4.00
i64,b,std::merge,7,6,1,5008670,535,10.183,10.346,10.709,10.418,2.88
i64,a,extend_sorted,7,5,2,5008670,535,11.791,12.293,12.621,12.331,2.31
i64,a,extend_scan,7,5,2,5008670,535,16.611,16.805,17.212,16.892,1.82
i64,a,extend_bsearch,7,5,2,5008670,535,22.419,22.804,23.273,22.906,2.11
i64,a,sort_network,7,5,2,5008670,535,2.314,2.338,2.356,2.359,3.98
i64,a,std::sort,7,5,2,5008670,535,17.033,17.250,17.637,17.345,2.44
i64,b,extend_sorted,7,5,2,5008670,535,11.066,11.317,11.493,11.350,1.40
i64,b,merge_sorted,7,5,2,5008670,535,14.702,15.052,15.499,15.121,2.30
i64,b,merge_branchless,7,5,2,5008670,535,18.298,18.505,18.889,18.586,1.72
i64,b,sort_network,7,5,2,5008670,535,2.321,2.345,2.360,2.356,2.76
i64,b,std::inplace_merge,7,5,2,5008670,535,23.177,23.748,24.202,23.895,5.16
i64,b,std::merge,7,5,2,5008670,535,14.264,14.536,14.908,14.603,2.19
i64,a,extend_sorted,7,4,3,5008670,535,18.292,18.843,19.192,18.882,1.65
i64,a,extend_scan,7,4,3,5008670,535,24.731,25.078,25.533,25.197,2.45
i64,a,extend_bsearch,7,4,3,5008670,535,32.689,33.251,33.737,33.380,2.44
i64,a,sort_network,7,4,3,5008670,535,2.311,2.335,2.370,2.359,4.25
i64,a,std::sort,7,4,3,5008670,535,22.104,22.444,22.867,22.544,2.74
i64,b,extend_sorted,7,4,3,5008670,535,13.820,14.107,14.460,14.174,2.28
i64,b,merge_sorted,7,4,3,5008670,535,18.298,18.776,19.157,18.860,2.39
i64,b,merge_branchless,7,4,3,5008670,535,20.214,21.127,21.475,21.207,2.03
i64,b,sort_network,7,4,3,5008670,535,2.319,2.345,2.391,2.377,5.94
i64,b,std::inplace_merge,7,4,3,5008670,535,26.535,27.158,28.386,27.442,3.58
i64,b,std::merge,7,4,3,5008670,535,16.866,17.141,17.541,17.249,2.81
i64,a,extend_sorted,7,3,4,5008670,535,23.866,24.515,24.915,24.553,1.31
i64,a,extend_scan,7,3,4,5008670,535,32.825,33.279,33.660,33.346,1.27
i64,a,extend_bsearch,7,3,4,5008670,535,42.991,43.651,44.050,43.709,2.17
i64,a,sort_network,7,3,4,5008670,535,2.311,2.331,2.352,2.350,4.18
i64,a,std::sort,7,3,4,5008670,535,27.673,27.999,28.413,28.083,1.42
i64,b,extend_sorted,7,3,4,5008670,535,14.496,14.907,15.213,14.936,1.85
i64,b,merge_sorted,7,3,4,5008670,535,20.183,20.510,20.858,20.558,1.29
i64,b,merge_branchless,7,3,4,5008670,535,21.582,22.393,22.785,22.454,1.27
