type,n,f,p,algo,ns_per_suffix_elem,k_ratio
pair64,4194304,0.50,0.50,ninther_first,1.2099,1.294
pair64,4194304,0.50,0.90,ref,12.5755,1.000
pair64,4194304,0.50,0.90,exact,4.4206,1.000
pair64,4194304,0.50,0.90,two_phase,1.6830,0.996
pair64,4194304,0.50,0.90,pivot_first,1.3584,0.996
pair64,4194304,0.50,0.90,ninther_first,1.3914,1.063
pair64,4194304,0.90,0.10,ref,18.2293,1.000
pair64,4194304,0.90,0.10,exact,1.1399,1.000
pair64,4194304,0.90,0.10,two_phase,0.9631,1.269
pair64,4194304,0.90,0.10,pivot_first,0.9052,1.269
pair64,4194304,0.90,0.10,ninther_first,1.1371,1.000
pair64,4194304,0.90,0.50,ref,66.1823,1.000
pair64,4194304,0.90,0.50,exact,2.7687,1.000
pair64,4194304,0.90,0.50,two_phase,1.2724,0.947
pair64,4194304,0.90,0.50,pivot_first,1.0623,0.947
pair64,4194304,0.90,0.50,ninther_first,2.7625,1.000
pair64,4194304,0.90,0.90,ref,39.2554,1.000
pair64,4194304,0.90,0.90,exact,3.8256,1.000
pair64,4194304,0.90,0.90,two_phase,1.6200,0.985
pair64,4194304,0.90,0.90,pivot_first,1.2641,0.985
pair64,4194304,0.90,0.90,ninther_first,1.1679,0.778
