type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
i64,few_unique,0.50,65536,key_one_part,0.7749,0.579,2.6924,3.7019
i64,few_unique,0.50,65536,fwd_sample,0.5113,0.494,2.0813,2.0813
i64,few_unique,0.50,65536,sample,0.4524,0.494,1.8416,1.8416
i64,few_unique,0.50,65536,part_until,0.7843,0.335,4.7102,4.7102
i64,few_unique,0.50,65536,rev_part_until,0.7610,0.690,2.2198,4.9320
i64,few_unique,0.50,262144,ref,5.4484,0.500,21.8250,21.8250
i64,few_unique,0.50,262144,count_select,1.1609,0.500,4.6505,4.6505
i64,few_unique,0.50,262144,fwd_key_select,1.1907,0.500,4.7695,4.7695
i64,few_unique,0.50,262144,key_select,1.1688,0.500,4.6818,4.6818
i64,few_unique,0.50,262144,rev_count_select,0.9689,0.500,3.8812,3.8812
i64,few_unique,0.50,262144,key_one_part,0.7334,0.284,5.1738,5.1738
i64,few_unique,0.50,262144,fwd_sample,0.5011,0.453,2.2176,2.2176
i64,few_unique,0.50,262144,sample,0.4486,0.453,1.9851,1.9851
i64,few_unique,0.50,262144,part_until,0.5713,0.774,1.4786,5.0605
i64,few_unique,0.50,262144,rev_part_until,0.4742,0.774,1.2273,4.2005
i64,few_unique,0.50,1048576,ref,5.5104,0.500,22.0735,22.0735
i64,few_unique,0.50,1048576,count_select,1.4276,0.500,5.7186,5.7186
i64,few_unique,0.50,1048576,fwd_key_select,1.2567,0.500,5.0340,5.0340
i64,few_unique,0.50,1048576,key_select,1.1417,0.500,4.5735,4.5735
i64,few_unique,0.50,1048576,rev_count_select,1.5914,0.500,6.3748,6.3748
i64,few_unique,0.50,1048576,key_one_part,0.8083,0.701,2.3086,5.4200
i64,few_unique,0.50,1048576,fwd_sample,0.5088,0.517,1.9719,2.1089
i64,few_unique,0.50,1048576,sample,0.4587,0.517,1.7778,1.9014
i64,few_unique,0.50,1048576,part_until,0.8673,0.820,2.1182,9.6520
i64,few_unique,0.50,1048576,rev_part_until,0.7436,0.205,7.2540,7.2540
i64,few_unique,0.50,4194304,ref,5.3795,0.500,21.5200,21.5200
i64,few_unique,0.50,4194304,count_select,1.8851,0.500,7.5411,7.5411
i64,few_unique,0.50,4194304,fwd_key_select,1.2734,0.500,5.0940,5.0940
i64,few_unique,0.50,4194304,key_select,1.1900,0.500,4.7603,4.7603
i64,few_unique,0.50,4194304,rev_count_select,1.7247,0.500,6.8994,6.8994
i64,few_unique,0.50,4194304,key_one_part,0.9386,0.582,3.2283,4.4870
i64,few_unique,0.50,4194304,fwd_sample,0.6899,0.486,2.8402,2.8402
i64,few_unique,0.50,4194304,sample,0.5279,0.486,2.1735,2.1735
i64,few_unique,0.50,4194304,part_until,1.0534,0.985,2.1384,143.4565
i64,few_unique,0.50,4194304,rev_part_until,1.1410,0.520,4.3880,4.7556
i64,few_unique,0.90,65536,ref,5.0480,0.500,11.2254,11.2254
i64,few_unique,0.90,65536,count_select,1.8162,0.500,4.0387,4.0387
i64,few_unique,0.90,65536,fwd_key_select,1.7931,0.500,3.9875,3.9875
i64,few_unique,0.90,65536,key_select,1.6555,0.500,3.6814,3.6814
i64,few_unique,0.90,65536,rev_count_select,1.5156,0.500,3.3703,3.3703
i64,few_unique,0.90,65536,key_one_part,0.9244,0.578,1.7780,2.4361
i64,few_unique,0.90,65536,fwd_sample,0.6021,0.506,1.3240,1.3544
i64,few_unique,0.90,65536,sample,0.4943,0.506,1.0868,1.1117
i64,few_unique,0.90,65536,part_until,0.5600,0.687,0.9067,1.9875
i64,few_unique,0.90,65536,rev_part_until,0.4637,0.687,0.7508,1.6458
i64,few_unique,0.90,262144,ref,3.9550,0.500,8.7924,8.7924
i64,few_unique,0.90,262144,count_select,1.3779,0.500,3.0631,3.0631
i64,few_unique,0.90,262144,fwd_key_select,1.3676,0.500,3.0403,3.0403
i64,few_unique,0.90,262144,key_select,1.8131,0.500,4.0307,4.0307
i64,few_unique,0.90,262144,rev_count_select,1.2166,0.500,2.7045,2.7045
i64,few_unique,0.90,262144,key_one_part,0.9351,0.500,2.0799,2.0799
i64,few_unique,0.90,262144,fwd_sample,0.6879,0.538,1.4213,1.6551
i64,few_unique,0.90,262144,sample,0.4828,0.538,0.9974,1.1615
i64,few_unique,0.90,262144,part_until,0.5651,0.429,1.4626,1.4626
i64,few_unique,0.90,262144,rev_part_until,0.4713,0.429,1.2198,1.2198
i64,few_unique,0.90,1048576,ref,5.5203,0.500,12.2684,12.2684
i64,few_unique,0.90,1048576,count_select,1.2421,0.500,2.7605,2.7605
i64,few_unique,0.90,1048576,fwd_key_select,1.8292,0.500,4.0653,4.0653
i64,few_unique,0.90,1048576,key_select,1.5503,0.500,3.4455,3.4455
i64,few_unique,0.90,1048576,rev_count_select,1.3803,0.500,3.0676,3.0676
i64,few_unique,0.90,1048576,key_one_part,0.9196,0.697,1.4651,3.3780
i64,few_unique,0.90,1048576,fwd_sample,0.6002,0.515,1.2959,1.3742
i64,few_unique,0.90,1048576,sample,0.4867,0.515,1.0509,1.1144
i64,few_unique,0.90,1048576,part_until,0.5862,0.670,0.9716,1.9767
i64,few_unique,0.90,1048576,rev_part_until,0.4820,0.670,0.7988,1.6252
i64,few_unique,0.90,4194304,ref,6.1897,0.500,13.7558,13.7558
i64,few_unique,0.90,4194304,count_select,2.0123,0.500,4.4720,4.4720
i64,few_unique,0.90,4194304,fwd_key_select,1.8668,0.500,4.1488,4.1488
i64,few_unique,0.90,4194304,key_select,1.4215,0.500,3.1592,3.1592
i64,few_unique,0.90,4194304,rev_count_select,1.6869,0.500,3.7488,3.7488
i64,few_unique,0.90,4194304,key_one_part,1.0613,0.342,3.4527,3.4527
